# FSAE course centreline, digitized from skidpad_autocross_2026.png
# source_md5=ba199c283f630d51bc19b72da9b0f615
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=674.0  closed=False  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
0.0000,215.4646,21.9096,0.055631
1.0000,216.2728,21.3210,0.057753
2.0000,217.1135,20.7798,0.058974
3.0000,217.9847,20.2891,0.059090
4.0000,218.8832,19.8505,0.057995
5.0000,219.8056,19.4645,0.055685
6.0000,220.7480,19.1305,0.052266
7.0000,221.7066,18.8462,0.047934
8.0000,222.6778,18.6080,0.042926
9.0000,223.6582,18.4117,0.037480
10.0000,224.6454,18.2523,0.031805
11.0000,225.6371,18.1243,0.026063
12.0000,226.6319,18.0222,0.020367
13.0000,227.6285,17.9404,0.014787
14.0000,228.6263,17.8733,0.009358
15.0000,229.6246,17.8156,0.004094
16.0000,230.6232,17.7620,0.001006
17.0000,231.6217,17.7074,0.005949
18.0000,232.6198,17.6469,0.010738
19.0000,233.6173,17.5757,0.015371
20.0000,234.6135,17.4891,0.019835
21.0000,235.6078,17.3829,0.023367
22.0000,236.5996,17.2545,0.018930
23.0000,237.5887,17.1074,0.014717
24.0000,238.5755,16.9458,0.010680
25.0000,239.5606,16.7735,0.006770
26.0000,240.5444,16.5947,0.002929
27.0000,241.5278,16.4129,0.000898
28.0000,242.5113,16.2320,0.004771
29.0000,243.4956,16.0559,0.008751
30.0000,244.4815,15.8884,0.012902
31.0000,245.4694,15.7336,0.017286
32.0000,246.4599,15.5959,0.021963
33.0000,247.4531,15.4801,0.026992
34.0000,248.4491,15.3911,0.032414
35.0000,249.4475,15.3346,0.038247
36.0000,250.4472,15.3162,0.044467
37.0000,251.4468,15.3424,0.050982
38.0000,252.4437,15.4194,0.057607
39.0000,253.4345,15.5537,0.064043
40.0000,254.4146,15.7510,0.069878
41.0000,255.3786,16.0162,0.074626
42.0000,256.3203,16.3520,0.070539
43.0000,257.2361,16.7532,0.060574
44.0000,258.1259,17.2092,0.051127
45.0000,258.9912,17.7102,0.042451
46.0000,259.8345,18.2476,0.034595
47.0000,260.6587,18.8138,0.027493
48.0000,261.4671,19.4024,0.021026
49.0000,262.2628,20.0081,0.015056
50.0000,263.0494,20.6256,0.009427
51.0000,263.8300,21.2505,0.003991
52.0000,264.6082,21.8786,0.001403
53.0000,265.3872,22.5056,0.006910
54.0000,266.1706,23.1271,0.012694
55.0000,266.9618,23.7386,0.018931
56.0000,267.7645,24.3350,0.025813
57.0000,268.5823,24.9104,0.033553
58.0000,269.4191,25.4579,0.042353
59.0000,270.2782,25.9694,0.052386
60.0000,271.1630,26.4352,0.063702
61.0000,272.0755,26.8436,0.076098
62.0000,273.0165,27.1812,0.088904
63.0000,273.9836,27.4343,0.100825
