# FSAE course centreline, digitized from endurance_2026.png
# source_md5=877c11e1865936b6f3b34a25eeab6dd8
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=964.0  closed=True  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
0.0000,505.1126,12.7594,0.045849
1.0000,506.1086,12.6713,0.043950
2.0000,507.1075,12.6268,0.041753
3.0000,508.1075,12.6240,0.039333
4.0000,509.1067,12.6603,0.036764
5.0000,510.1040,12.7336,0.034108
6.0000,511.0982,12.8409,0.031422
7.0000,512.0885,12.9792,0.028749
8.0000,513.0745,13.1459,0.026119
9.0000,514.0558,13.3383,0.023555
10.0000,515.0323,13.5538,0.021070
11.0000,516.0040,13.7900,0.018668
12.0000,516.9711,14.0442,0.016350
13.0000,517.9340,14.3141,0.014111
14.0000,518.8929,14.5976,0.011945
15.0000,519.8484,14.8926,0.009841
16.0000,520.8010,15.1969,0.007788
17.0000,521.7512,15.5087,0.005774
18.0000,522.6995,15.8259,0.003785
19.0000,523.6466,16.1467,0.001807
20.0000,524.5932,16.4693,0.000244
21.0000,525.5398,16.7917,0.002174
22.0000,526.4871,17.1120,0.004209
23.0000,527.4358,17.4283,0.006295
24.0000,528.3864,17.7386,0.008448
25.0000,529.3396,18.0409,0.010684
26.0000,530.2960,18.3330,0.013021
27.0000,531.2561,18.6126,0.015474
28.0000,532.2204,18.8773,0.018057
29.0000,533.1893,19.1246,0.020783
30.0000,534.1632,19.3515,0.022713
31.0000,535.1418,19.5575,0.016398
32.0000,536.1235,19.7474,0.009689
33.0000,537.1071,19.9278,0.002881
34.0000,538.0913,20.1054,0.003743
35.0000,539.0747,20.2866,0.009940
36.0000,540.0563,20.4775,0.015508
37.0000,541.0348,20.6835,0.020298
38.0000,542.0090,20.9093,0.027662
39.0000,542.9763,21.1626,0.042068
40.0000,543.9320,21.4565,0.059794
41.0000,544.8682,21.8074,0.083817
42.0000,545.7711,22.2363,0.118317
43.0000,546.6158,22.7700,0.167744
44.0000,547.3588,23.4367,0.222222
45.0000,547.9308,24.2535,0.222222
46.0000,548.2707,25.1912,0.192496
47.0000,548.4248,26.1783,0.108371
48.0000,548.4679,27.1771,0.052466
49.0000,548.4576,28.1771,0.010902
50.0000,548.4361,29.1768,0.027311
51.0000,548.4424,30.1767,0.071763
52.0000,548.5221,31.1731,0.128610
53.0000,548.7208,32.1523,0.132749
54.0000,549.0463,33.0971,0.123467
55.0000,549.4850,33.9951,0.103894
56.0000,550.0143,34.8430,0.080250
57.0000,550.6103,35.6458,0.057545
58.0000,551.2515,36.4131,0.038058
59.0000,551.9217,37.1552,0.022209
60.0000,552.6084,37.8821,0.009601
61.0000,553.3022,38.6023,0.001312
62.0000,553.9951,39.3233,0.010953
63.0000,554.6802,40.0517,0.020800
64.0000,555.3496,40.7946,0.032450
65.0000,555.9946,41.5587,0.047969
66.0000,556.6018,42.3530,0.071007
67.0000,557.1498,43.1891,0.108813
68.0000,557.6009,44.0807,0.176157
69.0000,557.8853,45.0370,0.222222
70.0000,557.8786,46.0313,0.222222
71.0000,557.5158,46.9577,0.222222
72.0000,556.9041,47.7457,0.187679
73.0000,556.1532,48.4045,0.128729
74.0000,555.3222,48.9597,0.095219
75.0000,554.4415,49.4327,0.075855
76.0000,553.5272,49.8371,0.064892
77.0000,552.5883,50.1810,0.059675
78.0000,551.6306,50.4680,0.056785
79.0000,550.6581,50.7003,0.052892
80.0000,549.6746,50.8809,0.048178
81.0000,548.6836,51.0140,0.042897
82.0000,547.6878,51.1045,0.037281
83.0000,546.6893,51.1578,0.031521
84.0000,545.6895,51.1797,0.025750
85.0000,544.6896,51.1757,0.020055
86.0000,543.6899,51.1518,0.014477
87.0000,542.6906,51.1133,0.009028
88.0000,541.6918,51.0658,0.003700
89.0000,540.6931,51.0146,0.001528
90.0000,539.6943,50.9650,0.006680
91.0000,538.6952,50.9219,0.011778
92.0000,537.6957,50.8906,0.016709
93.0000,536.6959,50.8735,0.003044
94.0000,535.6960,50.8594,0.012826
95.0000,534.6964,50.8324,0.030158
96.0000,533.6981,50.7750,0.050197
97.0000,532.7041,50.6673,0.074187
98.0000,531.7211,50.4854,0.102712
99.0000,530.7622,50.2040,0.133989
100.0000,529.8492,49.7982,0.143055
101.0000,529.0028,49.2672,0.125368
102.0000,528.2285,48.6353,0.105629
103.0000,527.5259,47.9242,0.087147
104.0000,526.8877,47.1547,0.071253
105.0000,526.3059,46.3416,0.058090
106.0000,525.7724,45.4959,0.047296
107.0000,525.2796,44.6259,0.038377
108.0000,524.8206,43.7375,0.030429
109.0000,524.3876,42.8362,0.012632
110.0000,523.9662,41.9293,0.005998
111.0000,523.5391,41.0251,0.026489
112.0000,523.0879,40.1327,0.051347
113.0000,522.5913,39.2650,0.083851
114.0000,522.0225,38.4431,0.127648
115.0000,521.3541,37.7007,0.181969
116.0000,520.5626,37.0926,0.222222
117.0000,519.6597,36.6673,0.178894
118.0000,518.6945,36.4098,0.125101
119.0000,517.7040,36.2752,0.083790
120.0000,516.7055,36.2255,0.053796
121.0000,515.7055,36.2300,0.033797
122.0000,514.7062,36.2662,0.063644
123.0000,513.7074,36.3149,0.086052
124.0000,512.7086,36.3639,0.098402
125.0000,511.7097,36.4110,0.099251
126.0000,510.7107,36.4551,0.088498
127.0000,509.7115,36.4952,0.067402
128.0000,508.7121,36.5303,0.038428
129.0000,507.7125,36.5591,0.007390
130.0000,506.7128,36.5806,0.029084
131.0000,505.7128,36.5934,0.059731
132.0000,504.7129,36.5960,0.083396
133.0000,503.7129,36.5869,0.097313
134.0000,502.7132,36.5644,0.099856
135.0000,501.7139,36.5263,0.090728
136.0000,500.7155,36.4705,0.070995
137.0000,499.7184,36.3946,0.042964
138.0000,498.7233,36.2956,0.019987
139.0000,497.7304,36.1771,0.024300
140.0000,496.7387,36.0483,0.055671
141.0000,495.7470,35.9198,0.080535
142.0000,494.7539,35.8026,0.095986
143.0000,493.7585,35.7075,0.100218
144.0000,492.7605,35.6443,0.092736
145.0000,491.7609,35.6215,0.074415
146.0000,490.7610,35.6376,0.047396
147.0000,489.7621,35.6839,0.021996
148.0000,488.7645,35.7523,0.019456
149.0000,487.7680,35.8356,0.051475
150.0000,486.7722,35.9275,0.077477
151.0000,485.7767,36.0220,0.094423
152.0000,484.7809,36.1137,0.100333
153.0000,483.7845,36.1987,0.094516
154.0000,482.7876,36.2769,0.077652
155.0000,481.7901,36.3482,0.051711
156.0000,480.7922,36.4129,0.019726
157.0000,479.7939,36.4711,0.014564
158.0000,478.7953,36.5229,0.047152
159.0000,477.7963,36.5683,0.074229
160.0000,476.7971,36.6076,0.092630
161.0000,475.7976,36.6409,0.100204
162.0000,474.7980,36.6683,0.096066
163.0000,473.7983,36.6899,0.080699
164.0000,472.7984,36.7059,0.055900
165.0000,471.7984,36.7164,0.024567
166.0000,470.7985,36.7216,0.009637
167.0000,469.7985,36.7216,0.042715
168.0000,468.7985,36.7165,0.070800
169.0000,467.7985,36.7066,0.090610
170.0000,466.7986,36.6920,0.099829
171.0000,465.7988,36.6728,0.097380
172.0000,464.7991,36.6492,0.083549
173.0000,463.7995,36.6213,0.059952
174.0000,462.8000,36.5893,0.029348
175.0000,461.8006,36.5534,0.004686
176.0000,460.8014,36.5136,0.038173
177.0000,459.8024,36.4702,0.067198
178.0000,458.8035,36.4232,0.088368
179.0000,457.8047,36.3729,0.099210
180.0000,456.8062,36.3194,0.098456
181.0000,455.8078,36.2631,0.000323
182.0000,454.8094,36.2064,0.003255
183.0000,453.8108,36.1530,0.006851
184.0000,452.8119,36.1064,0.010543
185.0000,451.8126,36.0703,0.014407
186.0000,450.8128,36.0488,0.018527
187.0000,449.8128,36.0458,0.022982
188.0000,448.8130,36.0658,0.027858
189.0000,447.8142,36.1136,0.033235
190.0000,446.8176,36.1947,0.039181
191.0000,445.8249,36.3148,0.045737
192.0000,444.8388,36.4800,0.052883
193.0000,443.8628,36.6973,0.060505
194.0000,442.9019,36.9735,0.068337
195.0000,441.9620,37.3144,0.073038
196.0000,441.0488,37.7214,0.065516
197.0000,440.1644,38.1877,0.057042
198.0000,439.3079,38.7037,0.048231
199.0000,438.4772,39.2602,0.039502
200.0000,437.6690,39.8490,0.031089
201.0000,436.8797,40.4630,0.023089
202.0000,436.1048,41.0950,0.015489
203.0000,435.3397,41.7389,0.008224
204.0000,434.5799,42.3891,0.001199
205.0000,433.8209,43.0402,0.005689
206.0000,433.0583,43.6870,0.012542
207.0000,432.2876,44.3242,0.019445
208.0000,431.5046,44.9463,0.026457
209.0000,430.7055,45.5473,0.033591
210.0000,429.8866,46.1212,0.040797
211.0000,429.0450,46.6611,0.047944
212.0000,428.1786,47.1602,0.052629
213.0000,427.2874,47.6136,0.051516
214.0000,426.3740,48.0204,0.050549
215.0000,425.4413,48.3806,0.049743
216.0000,424.4918,48.6940,0.049105
217.0000,423.5280,48.9603,0.048642
218.0000,422.5523,49.1793,0.048355
219.0000,421.5673,49.3509,0.048244
220.0000,420.5751,49.4748,0.048307
221.0000,419.5781,49.5506,0.048540
222.0000,418.5786,49.5780,0.048939
223.0000,417.5789,49.5564,0.049493
224.0000,416.5815,49.4854,0.050194
225.0000,415.5890,49.3645,0.051026
226.0000,414.6039,49.1931,0.051970
227.0000,413.6289,48.9715,0.041556
228.0000,412.6638,48.7097,0.023619
229.0000,411.7051,48.4253,0.005726
230.0000,410.7481,48.1352,0.012606
231.0000,409.7875,47.8575,0.032008
232.0000,408.8185,47.6108,0.052981
233.0000,407.8378,47.4160,0.075460
234.0000,406.8455,47.2955,0.095205
235.0000,405.8463,47.2649,0.078645
236.0000,404.8476,47.3135,0.059978
237.0000,403.8536,47.4216,0.041931
238.0000,402.8649,47.5714,0.025000
239.0000,401.8803,47.7458,0.009080
240.0000,400.8973,47.9294,0.006204
241.0000,399.9132,48.1069,0.020622
242.0000,398.9258,48.2654,0.025213
243.0000,397.9348,48.3990,0.030024
244.0000,396.9403,48.5027,0.035097
245.0000,395.9427,48.5715,0.040443
246.0000,394.9432,48.5999,0.046033
247.0000,393.9435,48.5824,0.051783
248.0000,392.9460,48.5132,0.057534
249.0000,391.9542,48.3867,0.052971
250.0000,390.9702,48.2089,0.034156
251.0000,389.9928,47.9977,0.015554
252.0000,389.0188,47.7712,0.002984
253.0000,388.0442,47.5473,0.020614
254.0000,387.0652,47.3435,0.038316
255.0000,386.0792,47.1774,0.055516
256.0000,385.0856,47.0659,0.061346
257.0000,384.0870,47.0145,0.051607
258.0000,383.0871,47.0146,0.042397
259.0000,382.0881,47.0572,0.033852
260.0000,381.0911,47.1336,0.025958
261.0000,380.0964,47.2359,0.018618
262.0000,379.1037,47.3567,0.011688
263.0000,378.1125,47.4892,0.005006
264.0000,377.1220,47.6266,0.001603
265.0000,376.1313,47.7625,0.008313
266.0000,375.1394,47.8901,0.015316
267.0000,374.1458,48.0024,0.022800
268.0000,373.1498,48.0920,0.030948
